_id,WEIGHT,TIMESTAMP,TYPE,SYNC,SYNC_QQHEALTH,TIME_ZONE,FAT_PERCENTAGE,SOURCE,IMPEDANCE,BMI,HEIGHT,BODY_FAT,MUSCLE,BODY_SHAPE_TYPE,MOISTURE,BASAL_METABOLISM,VISCERAL_FAT,BONE_MASS,SCORE,DEVICE_ID,USER_ID
1455768044000,70.30000305175781,1455768044000,0,1,,,,101,,,,,,,,,,,,,-1
1455807061000,69.69999694824219,1455807061000,0,1,,,,101,,,,,,,,,,,,,-1
1455846183000,69.5,1455846183000,0,1,,,,101,,,,,,,,,,,,,-1
1455913141000,70.30000305175781,1455913141000,0,1,,,,101,,,,,,,,,,,,,-1
1455947292000,70.30000305175781,1455947292000,0,1,,,,101,,,,,,,,,,,,,-1
1455982468000,70.30000305175781,1455982468000,0,1,,,,101,,,,,,,,,,,,,-1
1456031758000,69.5999984741211,1456031758000,0,1,,,,101,,,,,,,,,,,,,-1
1456036175000,70.69999694824219,1456036175000,0,1,,,,101,,,,,,,,,,,,,-1
1456167134000,71,1456167134000,0,1,,,,101,,,,,,,,,,,,,-1
1456196286000,70.30000305175781,1456196286000,0,1,,,,101,,,,,,,,,,,,,-1
1456330227000,70.69999694824219,1456330227000,0,1,,,,101,,,,,,,,,,,,,-1
1456682308000,71.5,1456682308000,0,1,,,,101,,,,,,,,,,,,,-1
1456770869000,71.69999694824219,1456770869000,0,1,,,,101,,,,,,,,,,,,,-1
1456801126000,70.9000015258789,1456801126000,0,1,,,,101,,,,,,,,,,,,,-1
1456858265000,71.4000015258789,1456858265000,0,1,,,,101,,,,,,,,,,,,,-1
1456973325000,70.30000305175781,1456973325000,0,1,,,,101,,,,,,,,,,,,,-1
1457023499000,70.9000015258789,1457023499000,0,1,,,,101,,,,,,,,,,,,,-1
1457369015000,70.5999984741211,1457369015000,0,1,,,,101,,,,,,,,,,,,,-1
1457406171000,71,1457406171000,0,1,,,,101,,,,,,,,,,,,,-1
1457490764000,70,1457490764000,0,1,,,,101,,,,,,,,,,,,,-1
1457762455000,70.19999694824219,1457762455000,0,1,,,,101,,,,,,,,,,,,,-1
1457802121000,71.5999984741211,1457802121000,0,1,,,,101,,,,,,,,,,,,,-1
1457849119000,70.30000305175781,1457849119000,0,1,,,,101,,,,,,,,,,,,,-1
1457891939000,71.80000305175781,1457891939000,0,1,,,,101,,,,,,,,,,,,,-1
1458062440000,70.69999694824219,1458062440000,0,1,,,,101,,,,,,,,,,,,,-1
1458145434000,71.5999984741211,1458145434000,0,1,,,,101,,,,,,,,,,,,,-1
1458185081000,71,1458185081000,0,1,,,,101,,,,,,,,,,,,,-1
1458325325000,68.80000305175781,1458325325000,0,1,,,,101,,,,,,,,,,,,,-1
1458702272000,70.19999694824219,1458702272000,0,1,,,,101,,,,,,,,,,,,,-1
1458926645000,71.4000015258789,1458926645000,0,1,,,,101,,,,,,,,,,,,,-1
1459016413000,71,1459016413000,0,1,,,,101,,,,,,,,,,,,,-1
1459068980000,71.69999694824219,1459068980000,0,1,,,,101,,,,,,,,,,,,,-1
1459222089000,69.0999984741211,1459222089000,0,1,,,,101,,,,,,,,,,,,,-1
1459394037000,68.9000015258789,1459394037000,0,1,,,,101,,,,,,,,,,,,,-1
1459449233000,69.19999694824219,1459449233000,0,1,,,,101,,,,,,,,,,,,,-1
1459609201000,71.0999984741211,1459609201000,0,1,,,,101,,,,,,,,,,,,,-1
1459665430000,70.30000305175781,1459665430000,0,1,,,,101,,,,,,,,,,,,,-1
1460110431000,69.4000015258789,1460110431000,0,1,,,,101,,,,,,,,,,,,,-1
1460391530000,70.5,1460391530000,0,1,,,,101,,,,,,,,,,,,,-1
1460429448000,69.5999984741211,1460429448000,0,1,,,,101,,,,,,,,,,,,,-1
1460573952000,70.4000015258789,1460573952000,0,1,,,,101,,,,,,,,,,,,,-1
1460802951000,71.9000015258789,1460802951000,0,1,,,,101,,,,,,,,,,,,,-1
1462728113000,74.0999984741211,1462728113000,0,1,,,,101,,,,,,,,,,,,,-1
1462762789000,71.4000015258789,1462762789000,0,1,,,,101,,,,,,,,,,,,,-1
1462812872000,72.30000305175781,1462812872000,0,1,,,,101,,,,,,,,,,,,,-1
1462896770000,71.5,1462896770000,0,1,,,,101,,,,,,,,,,,,,-1
1462980811000,71.5,1462980811000,0,1,,,,101,,,,,,,,,,,,,-1
1463170063000,71.4000015258789,1463170063000,0,1,,,,101,,,,,,,,,,,,,-1
1463541074000,70.4000015258789,1463541074000,0,1,,,,101,,,,,,,,,,,,,-1
1463590045000,70.69999694824219,1463590045000,0,1,,,,101,,,,,,,,,,,,,-1
1463634788000,69.4000015258789,1463634788000,0,1,,,,101,,,,,,,,,,,,,-1
1463683750000,70.19999694824219,1463683750000,0,1,,,,101,,,,,,,,,,,,,-1
1463714279000,70.69999694824219,1463714279000,0,1,,,,101,,,,,,,,,,,,,-1
1463776388000,71.5,1463776388000,0,1,,,,101,,,,,,,,,,,,,-1
1463812272000,70.69999694824219,1463812272000,0,1,,,,101,,,,,,,,,,,,,-1
